Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-08-03,0,0,0,0,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,2026-08-03,108.8,9,8,1.125,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-03,39.17,4,4,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-03,386.37,50,49,1.020408,5,4,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-08-03,32.48,2,2,1,0,0,0,0,0,0,2,1,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-03,7.24,1,1,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-03,262.71,27,25,1.08,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-08-03,2.52,1,1,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-08-03,21883.13,4387,3473,1.263173,127,99,6,1,1,69900,17,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-03,499.15,6,6,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-08-03,4827.93,889,668,1.330838,21,18,0,0,0,0,7,2,
Ad5 - Video - Sale - Copia,2026-08-04,4820.33,541,495,1.092929,20,20,8,1,0,0,508,62,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia,2026-08-04,2647.78,291,263,1.106464,16,12,0,0,0,0,30,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-08-04,143.87,8,7,1.142857,0,0,0,0,0,0,5,1,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,2026-08-04,1097.72,78,77,1.012987,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-04,1.67,1,1,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-08-04,1003.97,102,93,1.096774,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4,2026-08-04,2316.56,265,206,1.286408,16,16,5,0,0,0,7,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4,2026-08-04,5078.84,695,581,1.196213,21,24,6,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-04,5216.28,729,607,1.200988,31,24,2,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-08-04,649.71,35,35,1,3,2,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-04,2707.23,342,288,1.1875,11,12,0,0,0,0,1,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-08-04,7.4,3,3,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-08-04,22397.33,3991,2903,1.374785,124,106,16,1,1,239940,13,1,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-08-04,1853.91,339,281,1.206406,4,2,0,0,0,0,0,0,
Ad5 - Video - Sale - Copia,2026-08-05,7239.07,743,664,1.118976,31,41,3,0,0,0,710,109,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia,2026-08-05,2136.25,306,271,1.129151,10,10,0,0,0,0,31,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-08-05,48.07,4,3,1.333333,0,0,0,0,0,0,4,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-05,3.73,1,1,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-08-05,3143.74,442,372,1.188172,17,11,1,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4,2026-08-05,982.34,100,87,1.149425,3,5,0,0,0,0,0,0,
